graph_slot,graph_time,window_start,window_end_exclusive,window_steps,missing_cells,valid_for_pcmci,assigned_graph_slot
85,2023-04-03 00:00:00,2023-03-27 00:00:00,2023-04-03 00:00:00,2016,0,1,85
86,2023-04-04 00:00:00,2023-03-28 00:00:00,2023-04-04 00:00:00,2016,0,1,86
87,2023-04-05 00:00:00,2023-03-29 00:00:00,2023-04-05 00:00:00,2016,0,1,87
88,2023-04-06 00:00:00,2023-03-30 00:00:00,2023-04-06 00:00:00,2016,0,1,88
89,2023-04-07 00:00:00,2023-03-31 00:00:00,2023-04-07 00:00:00,2016,0,1,89
90,2023-04-08 00:00:00,2023-04-01 00:00:00,2023-04-08 00:00:00,2016,0,1,90
91,2023-04-09 00:00:00,2023-04-02 00:00:00,2023-04-09 00:00:00,2016,0,1,91
92,2023-04-10 00:00:00,2023-04-03 00:00:00,2023-04-10 00:00:00,2016,0,1,92
93,2023-04-11 00:00:00,2023-04-04 00:00:00,2023-04-11 00:00:00,2016,0,1,93
94,2023-04-12 00:00:00,2023-04-05 00:00:00,2023-04-12 00:00:00,2016,0,1,94
95,2023-04-13 00:00:00,2023-04-06 00:00:00,2023-04-13 00:00:00,2016,0,1,95
96,2023-04-14 00:00:00,2023-04-07 00:00:00,2023-04-14 00:00:00,2016,0,1,96
97,2023-04-15 00:00:00,2023-04-08 00:00:00,2023-04-15 00:00:00,2016,0,1,97
98,2023-04-16 00:00:00,2023-04-09 00:00:00,2023-04-16 00:00:00,2016,0,1,98
99,2023-04-17 00:00:00,2023-04-10 00:00:00,2023-04-17 00:00:00,2016,0,1,99
100,2023-04-18 00:00:00,2023-04-11 00:00:00,2023-04-18 00:00:00,2016,0,1,100
101,2023-04-19 00:00:00,2023-04-12 00:00:00,2023-04-19 00:00:00,2016,0,1,101
102,2023-04-20 00:00:00,2023-04-13 00:00:00,2023-04-20 00:00:00,2016,0,1,102
103,2023-04-21 00:00:00,2023-04-14 00:00:00,2023-04-21 00:00:00,2016,0,1,103
104,2023-04-22 00:00:00,2023-04-15 00:00:00,2023-04-22 00:00:00,2016,0,1,104
105,2023-04-23 00:00:00,2023-04-16 00:00:00,2023-04-23 00:00:00,2016,0,1,105
106,2023-04-24 00:00:00,2023-04-17 00:00:00,2023-04-24 00:00:00,2016,0,1,106
107,2023-04-25 00:00:00,2023-04-18 00:00:00,2023-04-25 00:00:00,2016,0,1,107
108,2023-04-26 00:00:00,2023-04-19 00:00:00,2023-04-26 00:00:00,2016,0,1,108
109,2023-04-27 00:00:00,2023-04-20 00:00:00,2023-04-27 00:00:00,2016,0,1,109
110,2023-04-28 00:00:00,2023-04-21 00:00:00,2023-04-28 00:00:00,2016,0,1,110
111,2023-04-29 00:00:00,2023-04-22 00:00:00,2023-04-29 00:00:00,2016,0,1,111
112,2023-04-30 00:00:00,2023-04-23 00:00:00,2023-04-30 00:00:00,2016,0,1,112
113,2023-05-01 00:00:00,2023-04-24 00:00:00,2023-05-01 00:00:00,2016,0,1,113
114,2023-05-02 00:00:00,2023-04-25 00:00:00,2023-05-02 00:00:00,2016,0,1,114
115,2023-05-03 00:00:00,2023-04-26 00:00:00,2023-05-03 00:00:00,2016,0,1,115
116,2023-05-04 00:00:00,2023-04-27 00:00:00,2023-05-04 00:00:00,2016,0,1,116
117,2023-05-05 00:00:00,2023-04-28 00:00:00,2023-05-05 00:00:00,2016,0,1,117
118,2023-05-06 00:00:00,2023-04-29 00:00:00,2023-05-06 00:00:00,2016,0,1,118
119,2023-05-07 00:00:00,2023-04-30 00:00:00,2023-05-07 00:00:00,2016,0,1,119
120,2023-05-08 00:00:00,2023-05-01 00:00:00,2023-05-08 00:00:00,2016,0,1,120
121,2023-05-09 00:00:00,2023-05-02 00:00:00,2023-05-09 00:00:00,2016,0,1,121
122,2023-05-10 00:00:00,2023-05-03 00:00:00,2023-05-10 00:00:00,2016,0,1,122
123,2023-05-11 00:00:00,2023-05-04 00:00:00,2023-05-11 00:00:00,2016,0,1,123
124,2023-05-12 00:00:00,2023-05-05 00:00:00,2023-05-12 00:00:00,2016,0,1,124
125,2023-05-13 00:00:00,2023-05-06 00:00:00,2023-05-13 00:00:00,2016,0,1,125
126,2023-05-14 00:00:00,2023-05-07 00:00:00,2023-05-14 00:00:00,2016,0,1,126
127,2023-05-15 00:00:00,2023-05-08 00:00:00,2023-05-15 00:00:00,2016,0,1,127
128,2023-05-16 00:00:00,2023-05-09 00:00:00,2023-05-16 00:00:00,2016,0,1,128
129,2023-05-17 00:00:00,2023-05-10 00:00:00,2023-05-17 00:00:00,2016,0,1,129
130,2023-05-18 00:00:00,2023-05-11 00:00:00,2023-05-18 00:00:00,2016,0,1,130
131,2023-05-19 00:00:00,2023-05-12 00:00:00,2023-05-19 00:00:00,2016,0,1,131
132,2023-05-20 00:00:00,2023-05-13 00:00:00,2023-05-20 00:00:00,2016,0,1,132
133,2023-05-21 00:00:00,2023-05-14 00:00:00,2023-05-21 00:00:00,2016,0,1,133
134,2023-05-22 00:00:00,2023-05-15 00:00:00,2023-05-22 00:00:00,2016,0,1,134
135,2023-05-23 00:00:00,2023-05-16 00:00:00,2023-05-23 00:00:00,2016,0,1,135
136,2023-05-24 00:00:00,2023-05-17 00:00:00,2023-05-24 00:00:00,2016,0,1,136
137,2023-05-25 00:00:00,2023-05-18 00:00:00,2023-05-25 00:00:00,2016,0,1,137
138,2023-05-26 00:00:00,2023-05-19 00:00:00,2023-05-26 00:00:00,2016,0,1,138
139,2023-05-27 00:00:00,2023-05-20 00:00:00,2023-05-27 00:00:00,2016,0,1,139
140,2023-05-28 00:00:00,2023-05-21 00:00:00,2023-05-28 00:00:00,2016,0,1,140
141,2023-05-29 00:00:00,2023-05-22 00:00:00,2023-05-29 00:00:00,2016,0,1,141
142,2023-05-30 00:00:00,2023-05-23 00:00:00,2023-05-30 00:00:00,2016,0,1,142
143,2023-05-31 00:00:00,2023-05-24 00:00:00,2023-05-31 00:00:00,2016,0,1,143
144,2023-06-01 00:00:00,2023-05-25 00:00:00,2023-06-01 00:00:00,2016,0,1,144
145,2023-06-02 00:00:00,2023-05-26 00:00:00,2023-06-02 00:00:00,2016,0,1,145
146,2023-06-03 00:00:00,2023-05-27 00:00:00,2023-06-03 00:00:00,2016,0,1,146
147,2023-06-04 00:00:00,2023-05-28 00:00:00,2023-06-04 00:00:00,2016,0,1,147
148,2023-06-05 00:00:00,2023-05-29 00:00:00,2023-06-05 00:00:00,2016,0,1,148
149,2023-06-06 00:00:00,2023-05-30 00:00:00,2023-06-06 00:00:00,2016,0,1,149
150,2023-06-07 00:00:00,2023-05-31 00:00:00,2023-06-07 00:00:00,2016,0,1,150
151,2023-06-08 00:00:00,2023-06-01 00:00:00,2023-06-08 00:00:00,2016,0,1,151
152,2023-06-09 00:00:00,2023-06-02 00:00:00,2023-06-09 00:00:00,2016,0,1,152
153,2023-06-10 00:00:00,2023-06-03 00:00:00,2023-06-10 00:00:00,2016,0,1,153
154,2023-06-11 00:00:00,2023-06-04 00:00:00,2023-06-11 00:00:00,2016,0,1,154
155,2023-06-12 00:00:00,2023-06-05 00:00:00,2023-06-12 00:00:00,2016,0,1,155
156,2023-06-13 00:00:00,2023-06-06 00:00:00,2023-06-13 00:00:00,2016,0,1,156
157,2023-06-14 00:00:00,2023-06-07 00:00:00,2023-06-14 00:00:00,2016,0,1,157
158,2023-06-15 00:00:00,2023-06-08 00:00:00,2023-06-15 00:00:00,2016,0,1,158
159,2023-06-16 00:00:00,2023-06-09 00:00:00,2023-06-16 00:00:00,2016,0,1,159
160,2023-06-17 00:00:00,2023-06-10 00:00:00,2023-06-17 00:00:00,2016,0,1,160
161,2023-06-18 00:00:00,2023-06-11 00:00:00,2023-06-18 00:00:00,2016,0,1,161
162,2023-06-19 00:00:00,2023-06-12 00:00:00,2023-06-19 00:00:00,2016,0,1,162
163,2023-06-20 00:00:00,2023-06-13 00:00:00,2023-06-20 00:00:00,2016,0,1,163
164,2023-06-21 00:00:00,2023-06-14 00:00:00,2023-06-21 00:00:00,2016,0,1,164
165,2023-06-22 00:00:00,2023-06-15 00:00:00,2023-06-22 00:00:00,2016,0,1,165
166,2023-06-23 00:00:00,2023-06-16 00:00:00,2023-06-23 00:00:00,2016,0,1,166
167,2023-06-24 00:00:00,2023-06-17 00:00:00,2023-06-24 00:00:00,2016,0,1,167
168,2023-06-25 00:00:00,2023-06-18 00:00:00,2023-06-25 00:00:00,2016,0,1,168
169,2023-06-26 00:00:00,2023-06-19 00:00:00,2023-06-26 00:00:00,2016,0,1,169
170,2023-06-27 00:00:00,2023-06-20 00:00:00,2023-06-27 00:00:00,2016,0,1,170
171,2023-06-28 00:00:00,2023-06-21 00:00:00,2023-06-28 00:00:00,2016,0,1,171
172,2023-06-29 00:00:00,2023-06-22 00:00:00,2023-06-29 00:00:00,2016,0,1,172
173,2023-06-30 00:00:00,2023-06-23 00:00:00,2023-06-30 00:00:00,2016,0,1,173
174,2023-07-01 00:00:00,2023-06-24 00:00:00,2023-07-01 00:00:00,2016,0,1,174
175,2023-07-02 00:00:00,2023-06-25 00:00:00,2023-07-02 00:00:00,2016,0,1,175
176,2023-07-03 00:00:00,2023-06-26 00:00:00,2023-07-03 00:00:00,2016,0,1,176
177,2023-07-04 00:00:00,2023-06-27 00:00:00,2023-07-04 00:00:00,2016,0,1,177
178,2023-07-05 00:00:00,2023-06-28 00:00:00,2023-07-05 00:00:00,2016,0,1,178
179,2023-07-06 00:00:00,2023-06-29 00:00:00,2023-07-06 00:00:00,2016,0,1,179
180,2023-07-07 00:00:00,2023-06-30 00:00:00,2023-07-07 00:00:00,2016,0,1,180
181,2023-07-08 00:00:00,2023-07-01 00:00:00,2023-07-08 00:00:00,2016,0,1,181
182,2023-07-09 00:00:00,2023-07-02 00:00:00,2023-07-09 00:00:00,2016,0,1,182
183,2023-07-10 00:00:00,2023-07-03 00:00:00,2023-07-10 00:00:00,2016,0,1,183
184,2023-07-11 00:00:00,2023-07-04 00:00:00,2023-07-11 00:00:00,2016,0,1,184
185,2023-07-12 00:00:00,2023-07-05 00:00:00,2023-07-12 00:00:00,2016,0,1,185
186,2023-07-13 00:00:00,2023-07-06 00:00:00,2023-07-13 00:00:00,2016,0,1,186
187,2023-07-14 00:00:00,2023-07-07 00:00:00,2023-07-14 00:00:00,2016,0,1,187
188,2023-07-15 00:00:00,2023-07-08 00:00:00,2023-07-15 00:00:00,2016,0,1,188
189,2023-07-16 00:00:00,2023-07-09 00:00:00,2023-07-16 00:00:00,2016,0,1,189
190,2023-07-17 00:00:00,2023-07-10 00:00:00,2023-07-17 00:00:00,2016,0,1,190
191,2023-07-18 00:00:00,2023-07-11 00:00:00,2023-07-18 00:00:00,2016,0,1,191
192,2023-07-19 00:00:00,2023-07-12 00:00:00,2023-07-19 00:00:00,2016,0,1,192
193,2023-07-20 00:00:00,2023-07-13 00:00:00,2023-07-20 00:00:00,2016,0,1,193
194,2023-07-21 00:00:00,2023-07-14 00:00:00,2023-07-21 00:00:00,2016,0,1,194
195,2023-07-22 00:00:00,2023-07-15 00:00:00,2023-07-22 00:00:00,2016,0,1,195
196,2023-07-23 00:00:00,2023-07-16 00:00:00,2023-07-23 00:00:00,2016,0,1,196
