previous_graph_slot,current_graph_slot,slot_gap,previous_edges,current_edges,intersection_edges,union_edges,added_edges,removed_edges,edge_jaccard,weighted_cosine,relative_frobenius_change
66,67,1,100,100,71,129,29,29,0.5503875968992248,0.8730714547650354,0.49940330091880386
67,68,1,100,100,82,118,18,18,0.6949152542372882,0.9188227396151644,0.4074038923651323
68,69,1,100,100,73,127,27,27,0.5748031496062992,0.8758467348782122,0.4974431732127356
69,70,1,100,100,79,121,21,21,0.6528925619834711,0.9042480531709353,0.43203452795922676
70,71,1,100,100,77,123,23,23,0.6260162601626016,0.908900945550724,0.43022543915639133
71,72,1,100,100,82,118,18,18,0.6949152542372882,0.937776121331126,0.3540465162979595
72,73,1,100,100,81,119,19,19,0.680672268907563,0.9141015808492712,0.41064861121855367
73,74,1,100,100,78,122,22,22,0.639344262295082,0.9030558214492914,0.43707863156163507
74,75,1,100,100,75,125,25,25,0.6,0.8874551707109621,0.48612229374543847
75,76,1,100,100,70,130,30,30,0.5384615384615384,0.865520285650144,0.5131781043595088
76,77,1,100,100,74,126,26,26,0.5873015873015873,0.8912628481452838,0.4619637440863255
77,78,1,100,100,72,128,28,28,0.5625,0.8923527934652442,0.4610036931142997
78,79,1,100,100,76,124,24,24,0.6129032258064516,0.8880845940630244,0.47417734174392473
79,80,1,100,100,85,115,15,15,0.7391304347826086,0.9453223958926196,0.33372640934455494
80,81,1,100,100,83,117,17,17,0.7094017094017094,0.9246443425917191,0.39792795337237
81,82,1,100,100,81,119,19,19,0.680672268907563,0.9234103686147028,0.3885029210988509
82,83,1,100,100,86,114,14,14,0.7543859649122807,0.944582261394247,0.33455509248140086
83,84,1,100,100,80,120,20,20,0.6666666666666666,0.8911235431449142,0.45512850222158513
84,85,1,100,100,79,121,21,21,0.6528925619834711,0.9183590967345269,0.4058735221249278
85,86,1,100,100,71,129,29,29,0.5503875968992248,0.8443247144523408,0.5660608760437249
86,87,1,100,100,73,127,27,27,0.5748031496062992,0.8911984058621466,0.4716241021139219
87,88,1,100,100,89,111,11,11,0.8018018018018018,0.9621901921357507,0.2792141898309904
88,89,1,100,100,74,126,26,26,0.5873015873015873,0.8832824385788357,0.48274867802982846
89,90,1,100,100,68,132,32,32,0.5151515151515151,0.8614870998948022,0.5280753436843616
90,91,1,100,100,84,116,16,16,0.7241379310344828,0.9272835528431229,0.3777522788397939
91,92,1,100,100,71,129,29,29,0.5503875968992248,0.8874284683173299,0.47671467530917117
92,93,1,100,100,77,123,23,23,0.6260162601626016,0.9059083489865556,0.43869802653467127
93,94,1,100,100,78,122,22,22,0.639344262295082,0.881266808568181,0.47344177435069557
94,95,1,100,100,79,121,21,21,0.6528925619834711,0.8896374464416072,0.5022276195577551
95,96,1,100,100,72,128,28,28,0.5625,0.8504511240238928,0.5286862646386402
96,97,1,100,100,79,121,21,21,0.6528925619834711,0.9067155642266306,0.435845808754889
97,98,1,100,100,77,123,23,23,0.6260162601626016,0.8753740765798391,0.5011268814513342
98,99,1,100,100,80,120,20,20,0.6666666666666666,0.9166383814003818,0.4157844516156402
99,100,1,100,100,80,120,20,20,0.6666666666666666,0.9096437402519464,0.4396971453080941
100,101,1,100,100,81,119,19,19,0.680672268907563,0.9136161858070718,0.41597669988270886
101,102,1,100,100,83,117,17,17,0.7094017094017094,0.9016908417375155,0.4541919141191161
102,103,1,100,100,77,123,23,23,0.6260162601626016,0.8732363323614912,0.489293005109649
103,104,1,100,100,80,120,20,20,0.6666666666666666,0.9123848299655419,0.4186204810347424
104,105,1,100,100,87,113,13,13,0.7699115044247787,0.9548954262973882,0.3055281733449263
105,106,1,100,100,82,118,18,18,0.6949152542372882,0.9226544864798101,0.3896095309507074
106,107,1,100,100,79,121,21,21,0.6528925619834711,0.9019346152054185,0.44108118299057414
107,108,1,100,100,76,124,24,24,0.6129032258064516,0.8988601306310523,0.4475422454125549
108,109,1,100,100,78,122,22,22,0.639344262295082,0.9092163895328417,0.4207619105380196
109,110,1,100,100,72,128,28,28,0.5625,0.8843298126427779,0.49088738861860814
110,111,1,100,100,85,115,15,15,0.7391304347826086,0.9344893639318919,0.3583599779942201
111,112,1,100,100,85,115,15,15,0.7391304347826086,0.9265115831627205,0.38678129483422924
112,113,1,100,100,77,123,23,23,0.6260162601626016,0.8864877295321166,0.48289178770134283
113,114,1,100,100,78,122,22,22,0.639344262295082,0.9120773182816874,0.4132268566276077
114,115,1,100,100,78,122,22,22,0.639344262295082,0.8956103614491039,0.4692532219958827
115,116,1,100,100,85,115,15,15,0.7391304347826086,0.9453341549025701,0.3330956005594983
116,117,1,100,100,79,121,21,21,0.6528925619834711,0.9302559092703426,0.3802712390730508
117,118,1,100,100,83,117,17,17,0.7094017094017094,0.9160761225291087,0.40104241843112143
118,119,1,100,100,81,119,19,19,0.680672268907563,0.9021347491484657,0.4426692005906845
119,120,1,100,100,73,127,27,27,0.5748031496062992,0.8589052408684937,0.5194648566410747
120,121,1,100,100,76,124,24,24,0.6129032258064516,0.8796220435933291,0.49070642616096627
121,122,1,100,100,82,118,18,18,0.6949152542372882,0.9195327280149801,0.401704501053476
